adc ax,ax|6611c0
bsf cx,[rbp]|660fbc4d00
bsf cx,[rsp]|660fbc0c24
bsf dx,ax|660fbcd0
bsf dx,bx|660fbcd3
bsf dx,cx|660fbcd1
bsf dx,dx|660fbcd2
bsf dx,si|660fbcd6
bsf dx,di|660fbcd7
bsf dx,sp|660fbcd4
bsf dx,bp|660fbcd5
bsf dx,[0x0]|660fbc142500000000
bsf dx,[ebx]|66670fbc13
bsf dx,[esi]|66670fbc16
bsf dx,[edi]|66670fbc17
bsf dx,[ebp]|66670fbc5500
bsf dx,[esp]|66670fbc1424
bsf dx,[rbx]|660fbc13
bsf dx,[rsi]|660fbc16
bsf dx,[rdi]|660fbc17
bsf dx,[rbp]|660fbc5500
bsf dx,[rsp]|660fbc1424
bsf si,ax|660fbcf0
bsf si,bx|660fbcf3
bsf si,cx|660fbcf1
bsf si,dx|660fbcf2
bsf si,si|660fbcf6
bsf si,di|660fbcf7
bsf si,sp|660fbcf4
bsf si,bp|660fbcf5
bsf si,[0x0]|660fbc342500000000
bsf si,[ebx]|66670fbc33
bsf si,[esi]|66670fbc36
bsf si,[edi]|66670fbc37
bsf si,[ebp]|66670fbc7500
bsf si,[esp]|66670fbc3424
bsf si,[rbx]|660fbc33
bsf si,[rsi]|660fbc36
bsf si,[rdi]|660fbc37
bsf si,[rbp]|660fbc7500
bsf si,[rsp]|660fbc3424
bsf di,ax|660fbcf8
bsf di,bx|660fbcfb
bsf di,cx|660fbcf9
bsf di,dx|660fbcfa
bsf di,si|660fbcfe
bsf di,di|660fbcff
bsf di,sp|660fbcfc
bsf di,bp|660fbcfd
bsf di,[0x0]|660fbc3c2500000000
bsf di,[ebx]|66670fbc3b
bsf di,[esi]|66670fbc3e
bsf di,[edi]|66670fbc3f
bsf di,[ebp]|66670fbc7d00
bsf di,[esp]|66670fbc3c24
bsf di,[rbx]|660fbc3b
bsf di,[rsi]|660fbc3e
bsf di,[rdi]|660fbc3f
bsf di,[rbp]|660fbc7d00
bsf di,[rsp]|660fbc3c24
bsf sp,ax|660fbce0
bsf sp,bx|660fbce3
bsf sp,cx|660fbce1
bsf sp,dx|660fbce2
bsf sp,si|660fbce6
bsf sp,di|660fbce7
bsf sp,sp|660fbce4
bsf sp,bp|660fbce5
bsf sp,[0x0]|660fbc242500000000
bsf sp,[ebx]|66670fbc23
bsf sp,[esi]|66670fbc26
bsf sp,[edi]|66670fbc27
bsf sp,[ebp]|66670fbc6500
bsf sp,[esp]|66670fbc2424
bsf sp,[rbx]|660fbc23
bsf sp,[rsi]|660fbc26
bsf sp,[rdi]|660fbc27
bsf sp,[rbp]|660fbc6500
bsf sp,[rsp]|660fbc2424
bsf bp,ax|660fbce8
bsf bp,bx|660fbceb
bsf bp,cx|660fbce9
bsf bp,dx|660fbcea
bsf bp,si|660fbcee
bsf bp,di|660fbcef
bsf bp,sp|660fbcec
bsf bp,bp|660fbced
bsf bp,[0x0]|660fbc2c2500000000
bsf bp,[ebx]|66670fbc2b
bsf bp,[esi]|66670fbc2e
bsf bp,[edi]|66670fbc2f
bsf bp,[ebp]|66670fbc6d00
bsf bp,[esp]|66670fbc2c24
bsf bp,[rbx]|660fbc2b
bsf bp,[rsi]|660fbc2e
bsf bp,[rdi]|660fbc2f
bsf bp,[rbp]|660fbc6d00
bsf bp,[rsp]|660fbc2c24
bsf eax,[0x0]|0fbc042500000000
bsf eax,eax|0fbcc0
bsf eax,ebx|0fbcc3
bsf eax,ecx|0fbcc1
bsf eax,esi|0fbcc6
bsf eax,edi|0fbcc7
bsf eax,ebp|0fbcc5
bsf eax,esp|0fbcc4
bsf eax,[ebx]|670fbc03
bsf eax,[esi]|670fbc06
bsf eax,[edi]|670fbc07
bsf eax,[ebp]|670fbc4500
bsf eax,[esp]|670fbc0424
bsf eax,[rbx]|0fbc03
bsf eax,[rsi]|0fbc06
bsf eax,[rdi]|0fbc07
bsf eax,[rbp]|0fbc4500
bsf eax,[rsp]|0fbc0424
bsf ebx,[0x0]|0fbc1c2500000000
bsf ebx,eax|0fbcd8
bsf ebx,ebx|0fbcdb
bsf ebx,ecx|0fbcd9
bsf ebx,esi|0fbcde
bsf ebx,edi|0fbcdf
bsf ebx,ebp|0fbcdd
bsf ebx,esp|0fbcdc
bsf ebx,[ebx]|670fbc1b
bsf ebx,[esi]|670fbc1e
bsf ebx,[edi]|670fbc1f
bsf ebx,[ebp]|670fbc5d00
bsf ebx,[esp]|670fbc1c24
bsf ebx,[rbx]|0fbc1b
bsf ebx,[rsi]|0fbc1e
bsf ebx,[rdi]|0fbc1f
bsf ebx,[rbp]|0fbc5d00
bsf ebx,[rsp]|0fbc1c24
bsf ecx,[0x0]|0fbc0c2500000000
bsf ecx,eax|0fbcc8
bsf ecx,ebx|0fbccb
bsf ecx,ecx|0fbcc9
bsf ecx,esi|0fbcce
bsf ecx,edi|0fbccf
bsf ecx,ebp|0fbccd
bsf ecx,esp|0fbccc
bsf ecx,[ebx]|670fbc0b
bsf ecx,[esi]|670fbc0e
bsf ecx,[edi]|670fbc0f
bsf ecx,[ebp]|670fbc4d00
bsf ecx,[esp]|670fbc0c24
bsf ecx,[rbx]|0fbc0b
bsf ecx,[rsi]|0fbc0e
bsf ecx,[rdi]|0fbc0f
bsf ecx,[rbp]|0fbc4d00
bsf ecx,[rsp]|0fbc0c24
bsf esi,[0x0]|0fbc342500000000
bsf esi,eax|0fbcf0
bsf esi,ebx|0fbcf3
bsf esi,ecx|0fbcf1
bsf esi,esi|0fbcf6
bsf esi,edi|0fbcf7
bsf esi,ebp|0fbcf5
bsf esi,esp|0fbcf4
bsf esi,[ebx]|670fbc33
bsf esi,[esi]|670fbc36
bsf esi,[edi]|670fbc37
bsf esi,[ebp]|670fbc7500
bsf esi,[esp]|670fbc3424
bsf esi,[rbx]|0fbc33
bsf esi,[rsi]|0fbc36
bsf esi,[rdi]|0fbc37
bsf esi,[rbp]|0fbc7500
bsf esi,[rsp]|0fbc3424
bsf edi,[0x0]|0fbc3c2500000000
bsf edi,eax|0fbcf8
bsf edi,ebx|0fbcfb
bsf edi,ecx|0fbcf9
bsf edi,esi|0fbcfe
bsf edi,edi|0fbcff
bsf edi,ebp|0fbcfd
bsf edi,esp|0fbcfc
bsf edi,[ebx]|670fbc3b
bsf edi,[esi]|670fbc3e
bsf edi,[edi]|670fbc3f
bsf edi,[ebp]|670fbc7d00
bsf edi,[esp]|670fbc3c24
bsf edi,[rbx]|0fbc3b
bsf edi,[rsi]|0fbc3e
bsf edi,[rdi]|0fbc3f
bsf edi,[rbp]|0fbc7d00
bsf edi,[rsp]|0fbc3c24
bsf ebp,[0x0]|0fbc2c2500000000
bsf ebp,eax|0fbce8
bsf ebp,ebx|0fbceb
bsf ebp,ecx|0fbce9
bsf ebp,esi|0fbcee
bsf ebp,edi|0fbcef
bsf ebp,ebp|0fbced
bsf ebp,esp|0fbcec
bsf ebp,[ebx]|670fbc2b
bsf ebp,[esi]|670fbc2e
bsf ebp,[edi]|670fbc2f
bsf ebp,[ebp]|670fbc6d00
bsf ebp,[esp]|670fbc2c24
bsf ebp,[rbx]|0fbc2b
bsf ebp,[rsi]|0fbc2e
bsf ebp,[rdi]|0fbc2f
bsf ebp,[rbp]|0fbc6d00
bsf ebp,[rsp]|0fbc2c24
bsf esp,[0x0]|0fbc242500000000
bsf esp,eax|0fbce0
bsf esp,ebx|0fbce3
bsf esp,ecx|0fbce1
bsf esp,esi|0fbce6
bsf esp,edi|0fbce7
bsf esp,ebp|0fbce5
bsf esp,esp|0fbce4
bsf esp,[ebx]|670fbc23
bsf esp,[esi]|670fbc26
bsf esp,[edi]|670fbc27
bsf esp,[ebp]|670fbc6500
bsf esp,[esp]|670fbc2424
bsf esp,[rbx]|0fbc23
bsf esp,[rsi]|0fbc26
bsf esp,[rdi]|0fbc27
bsf esp,[rbp]|0fbc6500
bsf esp,[rsp]|0fbc2424
bsf rax,[0x0]|480fbc042500000000
bsf rax,[ebx]|67480fbc03
bsf rax,[esi]|67480fbc06
bsf rax,[edi]|67480fbc07
bsf rax,[ebp]|67480fbc4500
bsf rax,[esp]|67480fbc0424
bsf rax,rax|480fbcc0
bsf rax,rbx|480fbcc3
bsf rax,rcx|480fbcc1
bsf rax,rsi|480fbcc6
bsf rax,rdi|480fbcc7
bsf rax,rbp|480fbcc5
bsf rax,rsp|480fbcc4
bsf rax,[rbx]|480fbc03
bsf rax,[rsi]|480fbc06
bsf rax,[rdi]|480fbc07
bsf rax,[rbp]|480fbc4500
bsf rax,[rsp]|480fbc0424
bsf rbx,[0x0]|480fbc1c2500000000
bsf rbx,[ebx]|67480fbc1b
bsf rbx,[esi]|67480fbc1e
bsf rbx,[edi]|67480fbc1f
bsf rbx,[ebp]|67480fbc5d00
bsf rbx,[esp]|67480fbc1c24
bsf rbx,rax|480fbcd8
bsf rbx,rbx|480fbcdb
bsf rbx,rcx|480fbcd9
bsf rbx,rsi|480fbcde
bsf rbx,rdi|480fbcdf
bsf rbx,rbp|480fbcdd
bsf rbx,rsp|480fbcdc
bsf rbx,[rbx]|480fbc1b
bsf rbx,[rsi]|480fbc1e
bsf rbx,[rdi]|480fbc1f
bsf rbx,[rbp]|480fbc5d00
bsf rbx,[rsp]|480fbc1c24
bsf rcx,[0x0]|480fbc0c2500000000
bsf rcx,[ebx]|67480fbc0b
bsf rcx,[esi]|67480fbc0e
bsf rcx,[edi]|67480fbc0f
bsf rcx,[ebp]|67480fbc4d00
bsf rcx,[esp]|67480fbc0c24
bsf rcx,rax|480fbcc8
bsf rcx,rbx|480fbccb
bsf rcx,rcx|480fbcc9
bsf rcx,rsi|480fbcce
bsf rcx,rdi|480fbccf
bsf rcx,rbp|480fbccd
bsf rcx,rsp|480fbccc
bsf rcx,[rbx]|480fbc0b
bsf rcx,[rsi]|480fbc0e
bsf rcx,[rdi]|480fbc0f
bsf rcx,[rbp]|480fbc4d00
bsf rcx,[rsp]|480fbc0c24
bsf rsi,[0x0]|480fbc342500000000
bsf rsi,[ebx]|67480fbc33
bsf rsi,[esi]|67480fbc36
bsf rsi,[edi]|67480fbc37
bsf rsi,[ebp]|67480fbc7500
bsf rsi,[esp]|67480fbc3424
bsf rsi,rax|480fbcf0
bsf rsi,rbx|480fbcf3
bsf rsi,rcx|480fbcf1
bsf rsi,rsi|480fbcf6
bsf rsi,rdi|480fbcf7
bsf rsi,rbp|480fbcf5
bsf rsi,rsp|480fbcf4
bsf rsi,[rbx]|480fbc33
bsf rsi,[rsi]|480fbc36
bsf rsi,[rdi]|480fbc37
bsf rsi,[rbp]|480fbc7500
bsf rsi,[rsp]|480fbc3424
bsf rdi,[0x0]|480fbc3c2500000000
bsf rdi,[ebx]|67480fbc3b
bsf rdi,[esi]|67480fbc3e
bsf rdi,[edi]|67480fbc3f
bsf rdi,[ebp]|67480fbc7d00
bsf rdi,[esp]|67480fbc3c24
bsf rdi,rax|480fbcf8
bsf rdi,rbx|480fbcfb
bsf rdi,rcx|480fbcf9
bsf rdi,rsi|480fbcfe
bsf rdi,rdi|480fbcff
bsf rdi,rbp|480fbcfd
bsf rdi,rsp|480fbcfc
bsf rdi,[rbx]|480fbc3b
bsf rdi,[rsi]|480fbc3e
bsf rdi,[rdi]|480fbc3f
bsf rdi,[rbp]|480fbc7d00
bsf rdi,[rsp]|480fbc3c24
bsf rbp,[0x0]|480fbc2c2500000000
bsf rbp,[ebx]|67480fbc2b
bsf rbp,[esi]|67480fbc2e
bsf rbp,[edi]|67480fbc2f
bsf rbp,[ebp]|67480fbc6d00
bsf rbp,[esp]|67480fbc2c24
bsf rbp,rax|480fbce8
bsf rbp,rbx|480fbceb
bsf rbp,rcx|480fbce9
bsf rbp,rsi|480fbcee
bsf rbp,rdi|480fbcef
bsf rbp,rbp|480fbced
bsf rbp,rsp|480fbcec
bsf rbp,[rbx]|480fbc2b
bsf rbp,[rsi]|480fbc2e
bsf rbp,[rdi]|480fbc2f
bsf rbp,[rbp]|480fbc6d00
bsf rbp,[rsp]|480fbc2c24
bsf rsp,[0x0]|480fbc242500000000
bsf rsp,[ebx]|67480fbc23
bsf rsp,[esi]|67480fbc26
bsf rsp,[edi]|67480fbc27
bsf rsp,[ebp]|67480fbc6500
bsf rsp,[esp]|67480fbc2424
bsf rsp,rax|480fbce0
bsf rsp,rbx|480fbce3
bsf rsp,rcx|480fbce1
bsf rsp,rsi|480fbce6
bsf rsp,rdi|480fbce7
bsf rsp,rbp|480fbce5
bsf rsp,rsp|480fbce4
bsf rsp,[rbx]|480fbc23
bsf rsp,[rsi]|480fbc26
bsf rsp,[rdi]|480fbc27
bsf rsp,[rbp]|480fbc6500
bsf rsp,[rsp]|480fbc2424
bswap eax | 0fc8
bswap ebx | 0fcb
bswap ecx | 0fc9
bswap esi | 0fce
bswap edi | 0fcf
bswap ebp | 0fcd
bswap esp | 0fcc
bswap rax | 480fc8
bswap rbx | 480fcb
bswap rcx | 480fc9
bswap rsi | 480fce
bswap rdi | 480fcf
bswap rbp | 480fcd
bswap rsp | 480fcc
bt ax,ax|660fa3c0
bt ax,bx|660fa3d8
bt ax,cx|660fa3c8
bt ax,dx|660fa3d0
bt ax,si|660fa3f0
bt ax,di|660fa3f8
bt ax,sp|660fa3e0
bt ax,bp|660fa3e8
bt ax,0x0|660fbae000
bt bx,ax|660fa3c3
bt bx,bx|660fa3db
bt bx,cx|660fa3cb
bt bx,dx|660fa3d3
bt bx,si|660fa3f3
bt bx,di|660fa3fb
bt bx,sp|660fa3e3
bt bx,bp|660fa3eb
bt bx,0x0|660fbae300
bt cx,ax|660fa3c1
bt cx,bx|660fa3d9
bt cx,cx|660fa3c9
bt cx,dx|660fa3d1
bt cx,si|660fa3f1
bt cx,di|660fa3f9
bt cx,sp|660fa3e1
bt cx,bp|660fa3e9
bt cx,0x0|660fbae100
bt dx,ax|660fa3c2
bt dx,bx|660fa3da
bt dx,cx|660fa3ca
bt dx,dx|660fa3d2
bt dx,si|660fa3f2
bt dx,di|660fa3fa
bt dx,sp|660fa3e2
bt dx,bp|660fa3ea
bt dx,0x0|660fbae200
bt si,ax|660fa3c6
bt si,bx|660fa3de
bt si,cx|660fa3ce
bt si,dx|660fa3d6
bt si,si|660fa3f6
bt si,di|660fa3fe
bt si,sp|660fa3e6
bt si,bp|660fa3ee
bt si,0x0|660fbae600
bt di,ax|660fa3c7
bt di,bx|660fa3df
bt di,cx|660fa3cf
bt di,dx|660fa3d7
bt di,si|660fa3f7
bt di,di|660fa3ff
bt di,sp|660fa3e7
bt di,bp|660fa3ef
bt di,0x0|660fbae700
bt sp,ax|660fa3c4
bt sp,bx|660fa3dc
bt sp,cx|660fa3cc
bt sp,dx|660fa3d4
bt sp,si|660fa3f4
bt sp,di|660fa3fc
bt sp,sp|660fa3e4
bt sp,bp|660fa3ec
bt sp,0x0|660fbae400
bt bp,ax|660fa3c5
bt bp,bx|660fa3dd
bt bp,cx|660fa3cd
bt bp,dx|660fa3d5
bt bp,si|660fa3f5
bt bp,di|660fa3fd
bt bp,sp|660fa3e5
bt bp,bp|660fa3ed
bt bp,0x0|660fbae500
bt [0x0],ax|660fa3042500000000
bt [0x0],bx|660fa31c2500000000
bt [0x0],cx|660fa30c2500000000
bt [0x0],dx|660fa3142500000000
bt [0x0],si|660fa3342500000000
bt [0x0],di|660fa33c2500000000
bt [0x0],sp|660fa3242500000000
bt [0x0],bp|660fa32c2500000000
bt [0x0],eax|0fa3042500000000
bt [0x0],ebx|0fa31c2500000000
bt [0x0],ecx|0fa30c2500000000
bt [0x0],esi|0fa3342500000000
bt [0x0],edi|0fa33c2500000000
bt [0x0],ebp|0fa32c2500000000
bt [0x0],esp|0fa3242500000000
bt [0x0],rax|480fa3042500000000
bt [0x0],rbx|480fa31c2500000000
bt [0x0],rcx|480fa30c2500000000
bt [0x0],rsi|480fa3342500000000
bt [0x0],rdi|480fa33c2500000000
bt [0x0],rbp|480fa32c2500000000
bt [0x0],rsp|480fa3242500000000
bt eax,0x0|0fbae000
bt eax,eax|0fa3c0
bt eax,ebx|0fa3d8
bt eax,ecx|0fa3c8
bt eax,esi|0fa3f0
bt eax,edi|0fa3f8
bt eax,ebp|0fa3e8
bt eax,esp|0fa3e0
bt ebx,0x0|0fbae300
bt ebx,eax|0fa3c3
bt ebx,ebx|0fa3db
bt ebx,ecx|0fa3cb
bt ebx,esi|0fa3f3
bt ebx,edi|0fa3fb
bt ebx,ebp|0fa3eb
bt ebx,esp|0fa3e3
bt ecx,0x0|0fbae100
bt ecx,eax|0fa3c1
bt ecx,ebx|0fa3d9
bt ecx,ecx|0fa3c9
bt ecx,esi|0fa3f1
bt ecx,edi|0fa3f9
bt ecx,ebp|0fa3e9
bt ecx,esp|0fa3e1
bt esi,0x0|0fbae600
bt esi,eax|0fa3c6
bt esi,ebx|0fa3de
bt esi,ecx|0fa3ce
bt esi,esi|0fa3f6
bt esi,edi|0fa3fe
bt esi,ebp|0fa3ee
bt esi,esp|0fa3e6
bt edi,0x0|0fbae700
bt edi,eax|0fa3c7
bt edi,ebx|0fa3df
bt edi,ecx|0fa3cf
bt edi,esi|0fa3f7
bt edi,edi|0fa3ff
bt edi,ebp|0fa3ef
bt edi,esp|0fa3e7
bt ebp,0x0|0fbae500
bt ebp,eax|0fa3c5
bt ebp,ebx|0fa3dd
bt ebp,ecx|0fa3cd
bt ebp,esi|0fa3f5
bt ebp,edi|0fa3fd
bt ebp,ebp|0fa3ed
bt ebp,esp|0fa3e5
bt esp,0x0|0fbae400
bt esp,eax|0fa3c4
bt esp,ebx|0fa3dc
bt esp,ecx|0fa3cc
bt esp,esi|0fa3f4
bt esp,edi|0fa3fc
bt esp,ebp|0fa3ec
bt esp,esp|0fa3e4
bt [ebx],ax|66670fa303
bt [ebx],bx|66670fa31b
bt [ebx],cx|66670fa30b
bt [ebx],dx|66670fa313
bt [ebx],si|66670fa333
bt [ebx],di|66670fa33b
bt [ebx],sp|66670fa323
bt [ebx],bp|66670fa32b
bt [ebx],eax|670fa303
bt [ebx],ebx|670fa31b
bt [ebx],ecx|670fa30b
bt [ebx],esi|670fa333
bt [ebx],edi|670fa33b
bt [ebx],ebp|670fa32b
bt [ebx],esp|670fa323
bt [ebx],rax|67480fa303
bt [ebx],rbx|67480fa31b
bt [ebx],rcx|67480fa30b
bt [ebx],rsi|67480fa333
bt [ebx],rdi|67480fa33b
bt [ebx],rbp|67480fa32b
bt [ebx],rsp|67480fa323
bt [esi],ax|66670fa306
bt [esi],bx|66670fa31e
bt [esi],cx|66670fa30e
bt [esi],dx|66670fa316
bt [esi],si|66670fa336
bt [esi],di|66670fa33e
bt [esi],sp|66670fa326
bt [esi],bp|66670fa32e
bt [esi],eax|670fa306
bt [esi],ebx|670fa31e
bt [esi],ecx|670fa30e
bt [esi],esi|670fa336
bt [esi],edi|670fa33e
bt [esi],ebp|670fa32e
bt [esi],esp|670fa326
bt [esi],rax|67480fa306
bt [esi],rbx|67480fa31e
bt [esi],rcx|67480fa30e
bt [esi],rsi|67480fa336
bt [esi],rdi|67480fa33e
bt [esi],rbp|67480fa32e
bt [esi],rsp|67480fa326
bt [edi],ax|66670fa307
bt [edi],bx|66670fa31f
bt [edi],cx|66670fa30f
bt [edi],dx|66670fa317
bt [edi],si|66670fa337
bt [edi],di|66670fa33f
bt [edi],sp|66670fa327
bt [edi],bp|66670fa32f
bt [edi],eax|670fa307
bt [edi],ebx|670fa31f
bt [edi],ecx|670fa30f
bt [edi],esi|670fa337
bt [edi],edi|670fa33f
bt [edi],ebp|670fa32f
bt [edi],esp|670fa327
bt [edi],rax|67480fa307
bt [edi],rbx|67480fa31f
bt [edi],rcx|67480fa30f
bt [edi],rsi|67480fa337
bt [edi],rdi|67480fa33f
bt [edi],rbp|67480fa32f
bt [edi],rsp|67480fa327
bt [ebp],ax|66670fa34500
bt [ebp],bx|66670fa35d00
bt [ebp],cx|66670fa34d00
bt [ebp],dx|66670fa35500
bt [ebp],si|66670fa37500
bt [ebp],di|66670fa37d00
bt [ebp],sp|66670fa36500
bt [ebp],bp|66670fa36d00
bt [ebp],eax|670fa34500
bt [ebp],ebx|670fa35d00
bt [ebp],ecx|670fa34d00
bt [ebp],esi|670fa37500
bt [ebp],edi|670fa37d00
bt [ebp],ebp|670fa36d00
bt [ebp],esp|670fa36500
bt [ebp],rax|67480fa34500
bt [ebp],rbx|67480fa35d00
bt [ebp],rcx|67480fa34d00
bt [ebp],rsi|67480fa37500
bt [ebp],rdi|67480fa37d00
bt [ebp],rbp|67480fa36d00
bt [ebp],rsp|67480fa36500
bt [esp],ax|66670fa30424
bt [esp],bx|66670fa31c24
bt [esp],cx|66670fa30c24
bt [esp],dx|66670fa31424
bt [esp],si|66670fa33424
bt [esp],di|66670fa33c24
bt [esp],sp|66670fa32424
bt [esp],bp|66670fa32c24
bt [esp],eax|670fa30424
bt [esp],ebx|670fa31c24
bt [esp],ecx|670fa30c24
bt [esp],esi|670fa33424
bt [esp],edi|670fa33c24
bt [esp],ebp|670fa32c24
bt [esp],esp|670fa32424
bt [esp],rax|67480fa30424
bt [esp],rbx|67480fa31c24
bt [esp],rcx|67480fa30c24
bt [esp],rsi|67480fa33424
bt [esp],rdi|67480fa33c24
bt [esp],rbp|67480fa32c24
bt [esp],rsp|67480fa32424
bt rax,0x0|480fbae000
bt rax,rax|480fa3c0
bt rax,rbx|480fa3d8
bt rax,rcx|480fa3c8
bt rax,rsi|480fa3f0
bt rax,rdi|480fa3f8
bt rax,rbp|480fa3e8
bt rax,rsp|480fa3e0
bt rbx,0x0|480fbae300
bt rbx,rax|480fa3c3
bt rbx,rbx|480fa3db
bt rbx,rcx|480fa3cb
bt rbx,rsi|480fa3f3
bt rbx,rdi|480fa3fb
bt rbx,rbp|480fa3eb
bt rbx,rsp|480fa3e3
bt rcx,0x0|480fbae100
bt rcx,rax|480fa3c1
bt rcx,rbx|480fa3d9
bt rcx,rcx|480fa3c9
bt rcx,rsi|480fa3f1
bt rcx,rdi|480fa3f9
bt rcx,rbp|480fa3e9
bt rcx,rsp|480fa3e1
bt rsi,0x0|480fbae600
bt rsi,rax|480fa3c6
bt rsi,rbx|480fa3de
bt rsi,rcx|480fa3ce
bt rsi,rsi|480fa3f6
bt rsi,rdi|480fa3fe
bt rsi,rbp|480fa3ee
bt rsi,rsp|480fa3e6
bt rdi,0x0|480fbae700
bt rdi,rax|480fa3c7
bt rdi,rbx|480fa3df
bt rdi,rcx|480fa3cf
bt rdi,rsi|480fa3f7
bt rdi,rdi|480fa3ff
bt rdi,rbp|480fa3ef
bt rdi,rsp|480fa3e7
bt rbp,0x0|480fbae500
bt rbp,rax|480fa3c5
bt rbp,rbx|480fa3dd
bt rbp,rcx|480fa3cd
bt rbp,rsi|480fa3f5
bt rbp,rdi|480fa3fd
bt rbp,rbp|480fa3ed
bt rbp,rsp|480fa3e5
bt rsp,0x0|480fbae400
bt rsp,rax|480fa3c4
bt rsp,rbx|480fa3dc
bt rsp,rcx|480fa3cc
bt rsp,rsi|480fa3f4
bt rsp,rdi|480fa3fc
bt rsp,rbp|480fa3ec
bt rsp,rsp|480fa3e4
bt [rbx],ax|660fa303
bt [rbx],bx|660fa31b
bt [rbx],cx|660fa30b
bt [rbx],dx|660fa313
bt [rbx],si|660fa333
bt [rbx],di|660fa33b
bt [rbx],sp|660fa323
bt [rbx],bp|660fa32b
bt [rbx],eax|0fa303
bt [rbx],ebx|0fa31b
bt [rbx],ecx|0fa30b
bt [rbx],esi|0fa333
bt [rbx],edi|0fa33b
bt [rbx],ebp|0fa32b
bt [rbx],esp|0fa323
bt [rbx],rax|480fa303
bt [rbx],rbx|480fa31b
bt [rbx],rcx|480fa30b
bt [rbx],rsi|480fa333
bt [rbx],rdi|480fa33b
bt [rbx],rbp|480fa32b
bt [rbx],rsp|480fa323
bt [rsi],ax|660fa306
bt [rsi],bx|660fa31e
bt [rsi],cx|660fa30e
bt [rsi],dx|660fa316
bt [rsi],si|660fa336
bt [rsi],di|660fa33e
bt [rsi],sp|660fa326
bt [rsi],bp|660fa32e
bt [rsi],eax|0fa306
bt [rsi],ebx|0fa31e
bt [rsi],ecx|0fa30e
bt [rsi],esi|0fa336
bt [rsi],edi|0fa33e
bt [rsi],ebp|0fa32e
bt [rsi],esp|0fa326
bt [rsi],rax|480fa306
bt [rsi],rbx|480fa31e
bt [rsi],rcx|480fa30e
bt [rsi],rsi|480fa336
bt [rsi],rdi|480fa33e
bt [rsi],rbp|480fa32e
bt [rsi],rsp|480fa326
bt [rdi],ax|660fa307
bt [rdi],bx|660fa31f
bt [rdi],cx|660fa30f
bt [rdi],dx|660fa317
bt [rdi],si|660fa337
bt [rdi],di|660fa33f
bt [rdi],sp|660fa327
bt [rdi],bp|660fa32f
bt [rdi],eax|0fa307
bt [rdi],ebx|0fa31f
bt [rdi],ecx|0fa30f
bt [rdi],esi|0fa337
bt [rdi],edi|0fa33f
bt [rdi],ebp|0fa32f
bt [rdi],esp|0fa327
bt [rdi],rax|480fa307
bt [rdi],rbx|480fa31f
bt [rdi],rcx|480fa30f
bt [rdi],rsi|480fa337
bt [rdi],rdi|480fa33f
bt [rdi],rbp|480fa32f
bt [rdi],rsp|480fa327
bt [rbp],ax|660fa34500
bt [rbp],bx|660fa35d00
bt [rbp],cx|660fa34d00
bt [rbp],dx|660fa35500
bt [rbp],si|660fa37500
bt [rbp],di|660fa37d00
bt [rbp],sp|660fa36500
bt [rbp],bp|660fa36d00
bt [rbp],eax|0fa34500
bt [rbp],ebx|0fa35d00
bt [rbp],ecx|0fa34d00
bt [rbp],esi|0fa37500
bt [rbp],edi|0fa37d00
bt [rbp],ebp|0fa36d00
bt [rbp],esp|0fa36500
bt [rbp],rax|480fa34500
bt [rbp],rbx|480fa35d00
bt [rbp],rcx|480fa34d00
bt [rbp],rsi|480fa37500
bt [rbp],rdi|480fa37d00
bt [rbp],rbp|480fa36d00
bt [rbp],rsp|480fa36500
bt [rsp],ax|660fa30424
bt [rsp],bx|660fa31c24
bt [rsp],cx|660fa30c24
bt [rsp],dx|660fa31424
bt [rsp],si|660fa33424
bt [rsp],di|660fa33c24
bt [rsp],sp|660fa32424
bt [rsp],bp|660fa32c24
bt [rsp],eax|0fa30424
bt [rsp],ebx|0fa31c24
bt [rsp],ecx|0fa30c24
bt [rsp],esi|0fa33424
bt [rsp],edi|0fa33c24
bt [rsp],ebp|0fa32c24
bt [rsp],esp|0fa32424
bt [rsp],rax|480fa30424
bt [rsp],rbx|480fa31c24
bt [rsp],rcx|480fa30c24
bt [rsp],rsi|480fa33424
bt [rsp],rdi|480fa33c24
bt [rsp],rbp|480fa32c24
bt [rsp],rsp|480fa32424
btc ax,ax|660fbbc0
btc ax,bx|660fbbd8
btc ax,cx|660fbbc8
btc ax,dx|660fbbd0
btc ax,si|660fbbf0
btc ax,di|660fbbf8
btc ax,sp|660fbbe0
btc ax,bp|660fbbe8
btc ax,0x0|660fbaf800
btc bx,ax|660fbbc3
btc bx,bx|660fbbdb
btc bx,cx|660fbbcb
btc bx,dx|660fbbd3
btc bx,si|660fbbf3
btc bx,di|660fbbfb
btc bx,sp|660fbbe3
btc bx,bp|660fbbeb
btc bx,0x0|660fbafb00
btc cx,ax|660fbbc1
btc cx,bx|660fbbd9
btc cx,cx|660fbbc9
btc cx,dx|660fbbd1
btc cx,si|660fbbf1
btc cx,di|660fbbf9
btc cx,sp|660fbbe1
btc cx,bp|660fbbe9
btc cx,0x0|660fbaf900
btc dx,ax|660fbbc2
btc dx,bx|660fbbda
btc dx,cx|660fbbca
btc dx,dx|660fbbd2
btc dx,si|660fbbf2
btc dx,di|660fbbfa
btc dx,sp|660fbbe2
btc dx,bp|660fbbea
btc dx,0x0|660fbafa00
btc si,ax|660fbbc6
